Source_IP,Destination_IP,Protocol,Packet_Size
8.8.8.8,192.168.43.13,UDP,102
192.168.43.13,20.207.73.82,TCP,66
20.207.73.82,192.168.43.13,TCP,66
192.168.43.13,20.207.73.82,TCP,54
192.168.43.13,20.207.73.82,TCP,1386
192.168.43.13,20.207.73.82,TCP,585
192.168.43.13,20.207.73.82,TCP,66
192.168.43.13,8.8.8.8,UDP,70
192.168.43.13,8.8.8.8,UDP,70
192.168.43.13,8.8.8.8,UDP,70
20.207.73.82,192.168.43.13,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,920
192.168.43.13,20.207.73.82,TCP,118
192.168.43.13,20.207.73.82,TCP,146
192.168.43.13,20.207.73.82,TCP,772
8.8.8.8,192.168.43.13,UDP,102
8.8.8.8,192.168.43.13,UDP,126
8.8.8.8,192.168.43.13,UDP,146
20.207.73.82,192.168.43.13,TCP,66
192.168.43.13,20.207.73.82,TCP,54
192.168.43.13,20.207.73.82,TCP,1386
192.168.43.13,20.207.73.82,TCP,553
192.168.43.13,13.203.1.146,TCP,66
20.207.73.82,192.168.43.13,TCP,133
20.207.73.82,192.168.43.13,TCP,133
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,118
192.168.43.13,20.207.73.82,TCP,85
20.207.73.82,192.168.43.13,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,920
192.168.43.13,20.207.73.82,TCP,54
192.168.43.13,20.207.73.82,TCP,118
13.203.1.146,192.168.43.13,TCP,66
192.168.43.13,13.203.1.146,TCP,54
192.168.43.13,13.203.1.146,TCP,1386
192.168.43.13,13.203.1.146,TCP,485
20.207.73.82,192.168.43.13,TCP,133
20.207.73.82,192.168.43.13,TCP,133
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,54
13.203.1.146,192.168.43.13,TCP,54
13.203.1.146,192.168.43.13,TCP,54
13.203.1.146,192.168.43.13,TCP,181
13.203.1.146,192.168.43.13,TCP,60
13.203.1.146,192.168.43.13,TCP,86
13.203.1.146,192.168.43.13,TCP,1366
192.168.43.13,13.203.1.146,TCP,54
13.203.1.146,192.168.43.13,TCP,1366
13.203.1.146,192.168.43.13,TCP,1366
192.168.43.13,13.203.1.146,TCP,54
13.203.1.146,192.168.43.13,TCP,1366
13.203.1.146,192.168.43.13,TCP,845
192.168.43.13,13.203.1.146,TCP,54
13.203.1.146,192.168.43.13,TCP,340
13.203.1.146,192.168.43.13,TCP,112
192.168.43.13,13.203.1.146,TCP,54
192.168.43.13,13.203.1.146,TCP,118
192.168.43.13,13.203.1.146,TCP,1386
192.168.43.13,13.203.1.146,TCP,1386
192.168.43.13,13.203.1.146,TCP,657
13.203.1.146,192.168.43.13,TCP,54
13.203.1.146,192.168.43.13,TCP,54
13.203.1.146,192.168.43.13,TCP,514
192.168.43.13,13.203.1.146,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
192.168.43.13,20.207.73.82,TCP,54
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
20.207.73.82,192.168.43.13,TCP,1366
